# d, delta_theta (radians)
0.143540,0.114211
0.156636,-0.075769
0.222870,0.184788
0.175868,0.006060
0.093247,-0.047201
0.105555,0.122122
-0.065237,-0.226748
-0.122856,0.030022
0.440072,0.048830
-0.194862,0.011685
-0.057822,-0.162736
0.039418,-0.020671
0.200399,0.033065
0.109168,-0.054688
0.063737,-0.042253
0.041955,-0.086062
0.165547,0.035073
-0.013507,-0.013245
0.107435,0.038879
0.115781,-0.008983
0.065707,0.135399
-0.058285,-0.170908
0.031807,0.199282
0.380407,0.135972
0.516537,-0.048950
-0.085425,-0.059018
0.124915,-0.074543
0.210706,0.167994
0.020963,-0.015968
0.074426,-0.078032
0.138654,-0.132847
0.015052,-0.063809
0.257426,-0.030449
0.259859,-0.127531
0.115754,0.121876
-0.025046,0.041807
-0.407430,-0.012315
0.307436,0.074275
-0.016418,-0.026375
-0.113008,0.064033
-0.029718,0.031287
-0.065677,0.037616
-0.082548,0.151551
-0.087198,-0.000792
0.095288,0.008228
0.180691,0.022850
0.018044,0.055784
0.056078,0.182645
0.164451,0.110955
-0.458801,0.026728
0.210544,0.160447
0.038664,0.123461
-0.099418,0.260414
-0.225726,0.032548
0.396835,0.108910
-0.143260,0.114972
-0.289399,0.094073
-0.110188,-0.004185
-0.243862,0.210805
0.031196,0.094481
0.205978,-0.077709
0.151198,0.139036
0.376282,-0.061663
0.019659,0.041275
0.079023,0.189901
-0.160049,0.048978
-0.051431,0.001920
0.368424,-0.085264
-0.082507,0.098501
-0.048312,0.228360
-0.054019,0.054018
0.083998,-0.012269
-0.216823,-0.034677
0.311601,0.058884
-0.157431,0.066684
0.192894,0.083641
0.153716,0.056352
0.164117,0.122003
0.091176,-0.006376
0.035844,-0.035241
0.103006,0.131858
0.327868,0.002586
0.198744,-0.217255
0.383062,0.079023
0.139609,-0.148777
0.177947,0.063478
0.343117,-0.102105
-0.146559,0.110964
0.079192,-0.116819
0.094550,0.099319
0.285039,0.000231
-0.138049,0.068372
0.056644,-0.096093
0.258940,0.171024
0.235847,0.224623
0.087595,-0.061746
0.133501,0.047786
0.138767,0.048096
0.334139,-0.060009
-0.021218,-0.022674
0.159160,-0.045191
-0.179065,0.058880
0.109208,-0.199608
0.320872,0.022161
0.156216,-0.048064
0.193128,0.007352
-0.198628,-0.050071
-0.155155,0.019114
-0.034549,-0.198691
0.017570,0.089774
0.252736,0.027843
0.147988,-0.112226
-0.147819,-0.066788
-0.162732,0.003080
-0.115266,-0.047558
0.194350,-0.023715
-0.136020,-0.075130
0.165576,0.142185
0.102496,0.155515
0.223067,0.018591
0.018251,0.137222
-0.038406,0.167351
-0.218074,0.083117
0.157020,-0.022030
-0.071602,0.006278
-0.016837,0.091593
-0.114053,-0.061321
0.228821,-0.042316
-0.076882,0.005496
0.048773,0.092286
0.339426,0.080223
0.153511,-0.009712
0.020422,-0.038817
-0.131964,0.006823
0.274304,-0.031268
0.236344,-0.033368
0.178243,-0.119984
-0.023005,-0.089559
0.154976,0.114446
-0.105773,-0.090862
-0.245487,0.061211
-0.007345,-0.086253
-0.134774,0.033163
0.040192,0.070605
0.143714,0.082936
0.070218,0.020315
-0.027377,-0.095540
0.151962,0.059653
0.419835,-0.088296
-0.076800,-0.025961
0.227750,-0.098318
0.127828,0.028883
0.102305,0.011370
-0.114914,-0.064489
0.155792,-0.081025
0.099315,0.048423
-0.026690,0.061075
0.028129,-0.075670
0.072720,-0.000398
-0.160627,-0.095178
0.185166,-0.081767
0.016131,-0.101120
0.005355,-0.201691
0.087032,-0.094889
0.152451,-0.107534
0.271523,0.010987
-0.027684,-0.019423
0.109378,-0.042714
0.092556,-0.251786
0.202619,0.044787
0.185871,-0.043625
0.153850,-0.039550
-0.399852,-0.055428
-0.258449,-0.266148
0.062063,-0.010781
-0.105355,-0.084988
-0.110306,-0.016087
-0.118764,-0.011186
-0.048422,0.068772
-0.096083,-0.195912
-0.074822,-0.243362
-0.084284,-0.272573
-0.081896,-0.021039
0.112204,-0.068280
0.158357,0.012964
-0.110942,-0.105158
0.048042,-0.023440
0.248402,-0.117217
-0.075880,-0.042243
0.064476,-0.193711
-0.085276,0.198678
0.057677,0.048828
-0.042404,-0.011337
-0.396342,0.035287
-0.167829,0.175127
0.007778,0.083168
0.136564,0.092268
0.324594,0.149743
0.361517,-0.025680
0.333751,-0.074507
0.311395,-0.010049
-0.137233,0.016002
0.048413,0.075908
0.179912,0.114968
0.064461,-0.032487
0.369353,0.078854
0.188034,0.105250
-0.108812,0.104977
-0.035542,0.019398
0.089708,-0.161183
0.447438,0.146033
0.024086,0.045742
0.074599,0.063682
0.047098,-0.052442
0.001786,0.026674
0.193044,-0.055306
0.193277,-0.092650
0.161994,0.017016
-0.147999,0.000440
0.168460,0.073752
0.132574,0.147431
0.003459,-0.071097
0.112698,-0.027193
0.238907,-0.079996
0.127613,-0.064876
0.364628,-0.119899
-0.016601,0.049687
0.153103,0.071053
-0.021830,-0.067232
0.335214,-0.041623
0.086239,-0.192812
0.094695,-0.045676
0.169578,-0.066431
0.010737,0.059280
0.137179,-0.013334
-0.108786,-0.000852
0.193505,-0.152007
-0.089344,-0.092719
0.361530,0.015512
0.100134,-0.098418
0.426083,0.010921
0.478538,0.058037
0.067833,-0.070981
0.153172,0.111686
-0.014991,0.078835
0.108603,-0.138863
0.092125,0.036948
0.305723,0.076585
0.303145,0.006000
0.097368,0.030207
0.181597,0.067174
0.098595,0.015705
0.174181,-0.033084
0.165048,-0.063399
0.216620,0.018955
-0.089747,0.103195
-0.068578,0.147814
-0.035637,0.033285
0.221680,0.036424
0.022182,-0.038562
0.117786,0.067165
0.215614,0.011037
0.087781,-0.036684
-0.237148,0.017199
0.130374,0.047760
-0.049533,0.127524
0.157528,0.089870
0.230526,-0.059616
0.298216,0.029917
0.061497,0.082495
0.040177,0.093157
0.314179,0.049753
0.199347,0.114298
0.102575,-0.134382
-0.058835,0.008934
-0.083633,0.044426
-0.062292,0.024011
0.000308,-0.009974
-0.206615,-0.010651
0.129508,0.021457
0.265755,0.215530
-0.156263,0.068451
-0.178241,0.081323
0.020834,-0.038059
-0.137947,-0.004455
0.039159,-0.054938
0.297074,0.115797
0.030768,-0.187034
0.015723,0.094267
-0.058518,0.071085
-0.065573,-0.012809
0.173746,0.116946
-0.002015,0.257544
0.222660,0.091761
-0.008180,0.155956
-0.034901,0.111812
0.029906,-0.061157
-0.253713,0.105673
0.012731,0.220625
0.326820,0.190983
0.101311,0.038060
0.285666,0.103084
-0.101668,0.016142
0.043083,0.119628
0.013058,0.097578
0.126978,0.037719
0.185473,0.109300
0.206785,-0.005661
0.255035,0.090528
-0.007798,0.106543
-0.236621,0.112510
-0.152617,0.083517
0.198094,0.047475
-0.057194,0.093067
-0.038228,0.106716
0.176541,-0.111050
-0.087949,0.068697
-0.062208,-0.040682
0.124900,-0.025487
-0.021136,0.074715
0.245377,-0.129557
-0.070517,-0.122967
0.034651,-0.062320
-0.068996,-0.014407
0.222958,0.031936
0.148446,-0.077677
-0.279169,-0.076767
0.164606,0.007552
0.375405,-0.027058
0.223667,-0.020364
0.297055,-0.039843
-0.039458,-0.166427
0.002386,-0.024439
0.166294,0.188518
-0.078426,0.037365
-0.247282,0.000961
0.141431,0.117056
0.124347,-0.090694
0.261629,0.035549
0.328274,0.053399
-0.041339,0.029299
0.268809,-0.064547
0.379180,0.089013
0.334144,-0.163727
0.343672,0.004489
0.185739,0.011959
-0.244858,-0.042356
-0.065091,0.140876
0.403533,0.032461
0.462396,-0.009839
-0.057422,-0.082219
0.115866,0.150225
0.047926,0.035376
0.152452,-0.197150
0.311297,-0.043359
0.098462,-0.096540
-0.184589,-0.067078
0.073071,0.118846
-0.090126,0.034338
0.305926,-0.039787
0.072166,0.085746
-0.100773,-0.013653
0.133314,-0.010941
0.006393,0.170812
0.029918,0.156950
0.210195,0.029450
0.340838,0.073008
-0.091860,0.002736
0.159959,0.076703
0.122916,0.082498
0.240267,0.040723
0.288724,0.067894
0.366022,0.090994
0.010799,0.086408
-0.225797,-0.034658
0.358525,0.005517
0.277821,-0.003329
0.080152,0.059898
-0.073492,0.081052
0.226833,0.047173
-0.035004,0.137318
-0.145156,0.172277
0.258323,-0.039769
0.091112,-0.013722
-0.176199,-0.067721
0.267023,-0.090978
0.141657,0.139560
0.072119,0.014758
0.221778,0.058999
-0.108909,0.007352
0.062460,-0.108241
-0.047065,-0.181381
0.138771,-0.178014
-0.017387,-0.141960
0.015694,-0.175733
-0.071347,0.027678
0.039413,-0.101598
0.134992,-0.086787
0.033938,-0.130911
0.233381,-0.012145
0.119583,-0.150065
0.152907,-0.101197
0.012686,-0.138183
-0.025197,0.001344
-0.147695,-0.078398
-0.254570,0.005718
0.096463,0.007249
-0.116788,-0.085615
0.290606,-0.078831
-0.070861,-0.104435
-0.115398,-0.148999
0.147337,-0.122418
-0.097831,-0.202882
-0.043416,-0.096916
-0.083945,0.011328
-0.251975,0.013690
-0.020598,-0.045340
-0.030983,-0.099105
0.274931,-0.189872
-0.257369,-0.026771
0.095199,-0.077053
-0.048297,-0.116837
0.141192,-0.105641
0.073391,-0.079442
-0.109464,-0.110322
0.088295,0.034145
0.336424,0.111495
0.362439,-0.072054
0.172550,0.044450
0.280891,0.148823
0.070611,-0.034925
0.055100,-0.116077
0.077734,-0.087717
0.299593,-0.047155
-0.099962,0.003291
-0.015520,-0.001121
0.121434,0.017847
0.035935,-0.040480
-0.040641,0.008419
0.254016,-0.049313
0.272930,0.047203
-0.056344,0.010480
0.082119,0.051964
0.076150,-0.152283
-0.002655,0.016590
0.117782,0.088343
0.138726,-0.062783
0.262104,0.042074
-0.131950,0.104659
0.067247,0.129451
0.090523,0.054862
0.140792,-0.028341
0.229215,0.091634
-0.289306,0.011575
0.204489,0.093726
0.393243,0.084440
-0.255191,0.040403
0.127888,-0.073413
0.093313,0.238814
0.153212,0.028010
0.139379,-0.158681
0.085954,0.135883
-0.148157,-0.028977
0.142568,-0.154571
0.018625,0.117796
0.103281,-0.080346
0.343154,-0.067156
0.067973,0.021952
-0.015188,-0.190742
0.152028,-0.158058
0.086974,0.000033
-0.024939,0.100964
-0.027876,0.073640
-0.028933,0.107949
-0.112978,-0.008375
0.380002,0.090859
0.208510,0.003169
0.255667,-0.050006
0.337286,0.121418
0.311448,-0.084964
0.053748,0.097683
0.054018,-0.048170
-0.003786,0.110040
-0.016544,-0.140528
-0.058129,-0.055117
0.069940,-0.021686
0.125413,-0.055480
0.055725,-0.037512
0.281274,0.046216
0.179500,-0.014326
-0.218383,0.083005
-0.094294,0.045402
0.313323,0.000924
0.281710,-0.027617
0.049020,-0.041944
0.130358,-0.020530
0.186599,-0.169273
-0.062090,-0.101927
0.329148,-0.041589
0.220346,0.115397
-0.027649,-0.012433
0.174453,-0.113751
0.101405,0.124318
0.191022,0.050653
-0.039574,0.057254
0.354099,0.091836
0.270543,0.127200
-0.106057,0.026915
0.206508,0.026378
-0.043124,0.326244
0.290191,0.021347
0.014489,0.145841
0.105575,0.134138
0.106690,0.119507
-0.434321,0.193448
0.146746,0.101812
0.318738,0.112129
0.209107,0.078871
-0.092828,0.142655
0.195746,0.138095
-0.310133,0.074628
-0.205818,0.081803
0.116843,0.164755
-0.162666,-0.003637
0.048259,0.059512
-0.049942,0.015952
0.037849,0.053498
0.032601,0.082961
-0.186156,0.020376
-0.009573,0.105177
0.267063,0.108134
0.147864,-0.041827
0.038316,-0.032864
0.270953,0.193731
0.283693,0.053368
-0.035297,0.135249
-0.118768,0.046991
0.172926,0.194151
0.181064,0.097126
0.247265,0.045956
0.067579,-0.004030
0.034687,0.051423
0.011530,0.213715
0.091988,0.159821
0.231926,-0.020858
0.078293,0.051938
0.287863,-0.167350
0.236923,0.057996
0.037826,0.174716
0.195605,0.013647
0.153695,0.048308
0.033571,0.012329
-0.070640,0.016809
-0.024910,0.079806
0.161165,-0.030591
-0.097120,-0.082052
0.100763,0.088460
0.108890,-0.098175
0.164205,0.076201
-0.140462,-0.081330
0.234395,0.041807
0.051883,0.102450
-0.086831,-0.025929
0.082090,0.088169
0.192491,-0.038042
0.036439,-0.109247
0.245317,-0.089178
0.071821,-0.150584
0.068087,-0.052591
0.048432,0.044341
-0.220097,0.086870
0.061147,0.000719
0.296024,-0.007152
0.494544,-0.053253
0.144540,-0.044751
0.152432,0.076595
0.321677,-0.224191
-0.059418,0.001321
-0.102497,-0.127038
0.151895,-0.078756
0.164289,0.010629
0.224634,-0.003080
-0.011853,-0.128552
-0.061558,-0.088927
-0.205561,0.091926
0.068310,0.115784
0.172679,-0.036573
0.096463,0.042868
0.119265,0.015248
-0.220351,-0.076973
0.285147,0.104285
-0.113289,-0.084250
0.081987,-0.118918
0.149989,0.036702
0.573189,0.183046
-0.122638,-0.065223
0.434214,0.067117
0.098102,0.037807
-0.079248,-0.162142
0.093307,0.194045
0.417775,-0.011723
0.360851,-0.109013
-0.003629,-0.009862
0.119885,-0.084468
0.020563,-0.039625
-0.263559,0.010779
0.134391,0.104917
-0.011781,0.123771
-0.109466,0.075469
0.361022,-0.115121
0.140222,0.094723
0.007132,-0.137231
0.056084,0.078030
0.257996,0.060449
-0.099994,-0.026760
0.318017,-0.127672
0.152461,0.042822
-0.088241,-0.060601
0.385020,-0.069088
0.342527,-0.129292
0.303454,0.062015
0.056051,0.036702
-0.040492,0.018987
0.046215,-0.093923
0.090358,-0.084148
0.299685,0.027989
0.142693,-0.176200
0.162725,-0.096519
0.066039,-0.167685
0.107733,-0.111747
0.000953,-0.035391
-0.070959,-0.059966
0.290415,-0.067884
0.156092,-0.023636
-0.312404,-0.065652
0.089295,-0.043925
-0.092564,-0.037936
0.147238,-0.061908
0.014621,0.021624
-0.086808,-0.195775
0.123977,0.077737
-0.374706,-0.170314
-0.092189,-0.089758
0.104286,-0.148881
-0.053649,-0.069225
-0.106156,-0.154613
-0.076338,-0.068029
-0.126769,-0.036433
0.270773,-0.107793
-0.163805,-0.100747
-0.213481,-0.114974
-0.053373,-0.179222
-0.162830,-0.048396
0.231743,-0.027361
0.039852,-0.100367
-0.110212,-0.091490
0.204910,-0.077594
0.060775,-0.138868
0.008185,-0.117228
-0.154574,-0.180201
0.092720,-0.167379
-0.178220,0.022704
0.200690,-0.110278
0.175371,0.073237
-0.074713,-0.014756
0.002293,0.115180
0.173401,-0.151826
0.391887,-0.164149
0.286823,-0.127760
0.120080,0.007011
0.031972,0.026144
-0.001937,-0.072925
0.237236,0.039342
0.303619,-0.000155
-0.199238,0.072262
0.069485,0.084860
0.097312,0.045975
0.193313,0.041585
-0.137254,0.046131
0.431227,0.047989
0.148955,-0.030803
0.252009,0.024792
0.112079,0.014250
-0.008606,0.129616
0.240111,-0.026676
0.124276,0.029517
0.098689,-0.028235
-0.273489,-0.044403
0.135669,0.099542
-0.121815,-0.129163
-0.084542,0.011857
0.267087,-0.043911
0.184683,-0.128616
-0.025637,-0.032272
0.061839,-0.073679
0.068527,-0.034868
0.026919,0.216521
-0.017984,0.060739
0.199788,-0.012767
0.129559,-0.055644
0.267269,0.002433
0.044927,-0.073109
0.316135,-0.061815
-0.170460,0.162751
0.211283,0.067754
0.065251,-0.051335
-0.059632,-0.092071
-0.000119,0.068682
0.171907,0.024432
0.170058,0.010059
-0.233979,0.045353
0.026199,0.018768
-0.194165,-0.011631
0.592064,-0.040910
0.135934,-0.038875
0.421814,0.050223
0.244424,0.145062
0.218349,0.175370
-0.068586,0.043411
0.088977,-0.019352
0.217852,0.105254
0.330423,-0.053267
0.236873,0.027012
0.144808,0.083988
0.017384,0.077777
0.154827,-0.027102
0.147889,-0.096753
0.083757,-0.096304
0.230099,0.028917
0.298709,-0.019420
0.003797,-0.063439
-0.075093,-0.082784
0.061208,0.082474
0.136768,-0.009590
0.117138,-0.034654
0.139171,0.108115
0.055323,-0.114941
0.142398,0.035033
-0.033681,-0.094547
0.088133,0.026204
0.104668,0.056231
-0.028949,0.052452
0.363993,0.122185
-0.235539,0.003956
0.007120,0.181092
-0.155087,0.152232
0.273200,0.153212
0.040276,0.018958
0.032939,0.146127
0.124758,0.070759
0.011484,-0.075244
-0.289884,0.130787
0.082917,0.116139
-0.179826,0.054544
-0.136841,0.071225
-0.051922,-0.036146
0.024018,0.084947
0.040667,0.081808
0.099443,-0.045797
-0.134556,0.133583
-0.166332,0.069160
0.093545,0.105357
0.237997,0.051292
-0.215352,0.133945
0.059786,0.069365
0.004378,0.057908
-0.173515,0.029854
-0.021129,0.077704
0.279029,-0.050987
-0.161644,-0.038128
0.147280,0.124607
-0.205684,-0.009411
0.040774,0.064469
0.075908,-0.013149
-0.044184,0.001975
0.055649,0.048720
0.027733,0.099889
-0.135541,-0.004669
0.060031,0.118497
